commission,niveau,groupe_competences
alpinisme,INI,1.1 Mon niveau de pratique en alpinisme 1
alpinisme,INI,1.2 Mon expérience en alpinisme 1
alpinisme,INI,2.1 Techniques de cordes en milieu montagne 1
alpinisme,INI,2.2 Progression sur glacier 1
alpinisme,INI,2.3 Progression en neige et glace 1
alpinisme,INI,2.4 Progression en rocher 1
alpinisme,INI,3.1 Mon matériel - mon équipement en alpinisme 1
alpinisme,INI,3.2 Les bons comportements en alpinisme
alpinisme,INI,3.3 Environnement de pratique - milieu montagne 1 (CO1)
alpinisme,INI,3.4 Environnement de pratique - milieu montagne enneigée 1 (NA1)
alpinisme,PER,1.1 Mon niveau de pratique en alpinisme 2
alpinisme,PER,1.2 Mon expérience en alpinisme 2
alpinisme,PER,2.1 Principes et techniques de base
alpinisme,PER,2.2 Progression sur glacier 2
alpinisme,PER,2.3 Progression en neige et glace 2
alpinisme,PER,2.4 Progression en rocher 2
alpinisme,SPE,3.1 Le matériel pour une pratique autonome en alpinisme et en grandes voies
alpinisme,SPE,3.1 Le matériel pour une pratique autonome en grandes voies et grandes voies équipées
alpinisme,SPE,3.2 Réussir sa sortie en groupe autonome en alpinisme et en cascade de glace
alpinisme,PER,3.3 Environnement de pratique - milieu montagne 2 (CO2*)
alpinisme,PER,3.4 Environnement de pratique - milieu montagne enneigée 2 (NA2)
alpinisme,PER,4.1 La formation à la FFCAM
alpinisme,SPE,1.1 Mon niveau de pratique en cascade de glace
alpinisme,SPE,1.2 Mon expérience en cascade de glace
alpinisme,SPE,2.2 Connaissances et gestuelle en glace
alpinisme,SPE,2.3 Techniques complémentaires en cascade de glace
alpinisme,SPE,3.1 Le matériel pour une pratique autonome en glace
alpinisme,SPE,1.1 Mon niveau de pratique en escalade sur glace - dry
alpinisme,SPE,1.2 Mon expérience en escalade sur glace - dry tooling
alpinisme,SPE,2.1 Principes et techniques de base en escalade sur glace - dry tooling
alpinisme,SPE,2.3 Gestuelle spécifique en escalade sur glace - dry tooling
alpinisme,SPE,1.1 Mon niveau de pratique en grandes voies équipées
alpinisme,SPE,1.2 Mon expérience en grandes voies équipées
alpinisme,SPE,1.3 Mon niveau de pratique en grandes voies peu ou partiellement équipées
alpinisme,SPE,1.4 Mon expérience en grandes voies peu ou partiellement équipées
alpinisme,SPE,2.2 Techniques de progression en grandes voies et grandes voies équipées
alpinisme,SPE,2.3 Techniques de progression en grandes voies (peu ou partiellement équipées)
alpinisme,SPE,3.2 Réussir sa sortie autonome en grandes voies et grandes voies équipées
ski-randonnee-nordique,INI,1.1 Mon niveau de pratique en ski de randonnée nordique 1
ski-randonnee-nordique,INI,1.2 Mon expérience en ski de randonnée nordique 1
ski-randonnee-nordique,INI,2.1 Progression ski de randonnée nordique en montée 1
ski-randonnee-nordique,INI,2.2 Progression ski de randonnée nordique en descente 1
ski-randonnee-nordique,INI,2.3 Progression en neige dure en raquettes et ski de randonnée nordique 1
ski-randonnee-nordique,INI,3.1 Mon matériel mon équipement en ski de randonnée nordique 1
ski-randonnee-nordique,INI,3.2 Les bons comportements en sports de neige
ski-randonnee-nordique,INI,3.2 Les bons comportements en sortie encadrée en sports de neige
